Date,CPI_MoM
1/5/2010,0.0345
1/6/2010,0.0176
1/7/2010,0.0273
1/8/2010,0.0249
1/9/2010,0.0215
1/10/2010,0.0124
1/11/2010,0.0142
1/12/2010,0.0189
1/1/2011,0.0106
1/2/2011,0.0148
1/3/2011,0.017
1/4/2011,0.0245
1/5/2011,0.0236
1/6/2011,0.0189
1/7/2011,0.0175
1/8/2011,0.0271
1/9/2011,0.0181
1/10/2011,0.0144
1/11/2011,0.0094
1/12/2011,0.0203
1/1/2012,0.0144
1/2/2012,0.0187
1/3/2012,0.0087
1/4/2012,0.0378
1/5/2012,0.0273
1/6/2012,0.0181
1/7/2012,0.0172
1/8/2012,0.0265
1/9/2012,0.0273
1/10/2012,0.0169
1/11/2012,0.0112
1/12/2012,0.0098
1/1/2013,0.0114
1/2/2013,0.0206
1/3/2013,-0.0012
1/4/2013,0.004
1/5/2013,0.007
1/6/2013,0.0184
1/7/2013,0.0407
1/8/2013,0.0224
1/9/2013,0.0148
1/10/2013,0.016
1/11/2013,0.0131
1/12/2013,0.029
1/1/2014,0.0355
1/2/2014,0.054
1/3/2014,0.0593
1/4/2014,0.0292
1/5/2014,0.0177
1/6/2014,0.0221
1/7/2014,0.0151
1/8/2014,0.0211
1/9/2014,0.0248
1/10/2014,0.0234
1/11/2014,0.0246
1/12/2014,0.0171
1/1/2015,0.0159
1/2/2015,0.0234
1/3/2015,0.0104
1/4/2015,0.0223
1/5/2015,0.0199
1/6/2015,0.0171
1/7/2015,0.0225
1/8/2015,0.0222
1/9/2015,0.021
1/10/2015,0.0172
1/11/2015,0.0184
1/12/2015,0.0203
1/1/2016,0.0345
1/2/2016,0.0631
1/3/2016,0.024
1/4/2016,0.0281
1/5/2016,0.0274
1/6/2016,0.042
1/7/2016,0.031
1/8/2016,0.02
1/9/2016,0.002
1/10/2016,0.011
1/11/2016,0.024
1/12/2016,0.016
1/1/2017,0.012
1/2/2017,0.013
1/3/2017,0.025
1/4/2017,0.024
1/5/2017,0.026
1/6/2017,0.013
1/7/2017,0.014
1/8/2017,0.017
1/9/2017,0.015
1/10/2017,0.02
1/11/2017,0.013
1/12/2017,0.014
1/1/2018,0.034
1/2/2018,0.016
1/3/2018,0.024
1/4/2018,0.025
1/5/2018,0.027
1/6/2018,0.019
1/7/2018,0.039
1/8/2018,0.031
1/9/2018,0.041
1/10/2018,0.066
1/11/2018,0.051
1/12/2018,0.029
1/1/2019,0.028
1/2/2019,0.028
1/3/2019,0.038
1/4/2019,0.048
1/5/2019,0.032
1/6/2019,0.03
1/7/2019,0.026
1/8/2019,0.021
1/9/2019,0.039
1/10/2019,0.058
1/11/2019,0.032
1/12/2019,0.043
1/1/2020,0.037
1/2/2020,0.023
1/3/2020,0.02
1/4/2020,0.036
1/5/2020,0.014
1/6/2020,0.015
1/7/2020,0.02
1/8/2020,0.016
1/9/2020,0.027
1/10/2020,0.028
1/11/2020,0.036
1/12/2020,0.03
1/1/2021,0.037
1/2/2021,0.033
1/3/2021,0.036
1/4/2021,0.048
1/5/2021,0.041
1/6/2021,0.034
1/7/2021,0.032
1/8/2021,0.03
1/9/2021,0.026
1/10/2021,0.038
1/11/2021,0.038
1/12/2021,0.025
1/1/2022,0.041
1/2/2022,0.039
1/3/2022,0.047
1/4/2022,0.067
1/5/2022,0.062
1/6/2022,0.048
1/7/2022,0.055
1/8/2022,0.074
1/9/2022,0.07
1/10/2022,0.062
1/11/2022,0.063
1/12/2022,0.049
1/1/2023,0.053
1/2/2023,0.06
1/3/2023,0.066
1/4/2023,0.077
1/5/2023,0.084
1/6/2023,0.078
1/7/2023,0.06
1/8/2023,0.062
1/9/2023,0.123
1/10/2023,0.115
1/11/2023,0.083
1/12/2023,0.115
1/1/2024,0.255
1/2/2024,0.208
1/3/2024,0.132
1/4/2024,0.11
1/5/2024,0.092
1/6/2024,0.042
1/7/2024,0.046
1/8/2024,0.042
1/9/2024,0.035
1/10/2024,0.027
1/11/2024,0.024
1/12/2024,0.027
1/1/2025,0.022
1/2/2025,0.023
1/3/2025,0.022
1/4/2025,0.019
1/5/2025,0.017
1/6/2025,0.017
1/7/2025,0.016
1/8/2025,0.015
